用户名,评分,游戏时长,评论
﻿An-dhra,1E+00,2小时5分钟,游戏是个好游戏，一颗星给游戏，不然我就打零分了。（tap也不让打零分就是了）到刚刚为止一直在回档，主线出bug推不下去，各种bug横飞，回档给的补偿也给的几乎跟没有差不多，主线已经打第三次了我服了。我是没见过维护的这么垃圾的游戏，说实话真是垃圾，你们就不能停服维护一下？垃圾成这个样子还好意思上线？***。以前发评论从不骂人，这次实在是被漫不经心又糊弄玩家的运营气到了，又很遗憾这么好个游戏就这么暴毙了。唉。
﻿Suicidal_usagi,3E+00,,有一说一，游戏个别人物立绘还好，整体画面很粗糙，感觉在玩十年前的游戏，不仅仅是个人喜好问题，有些贴图根本都是糊的啊！玩法在卡牌＋养成游戏里算比较有趣，让我想到料理次元（画风和玩法都是）和万象物语，然而加入了自动模式，ai还不太聪明的亚子……掉率我这边是20抽1ur1ssr，不知道算什么水平。总得来说游戏本身还是比较吸引人的，因为养成系统花样真的蛮多，即便我不喜欢画风，但还是会为武器肝下去吧。
﻿东昭,3E+00,1小时19分钟,emmmm不知道什么原因，一开始打开后操作之类的东西是没有什么问题的，之后隔了半个小时的样子再去登录，发现之前抽到的ssr莫名消失，就重新启动游戏。启动了两三次的样子吧，那把刀就回来了。战斗结束之后不是要加载回家吗，然后那个进度条死活不肯到百分之百，等了两个多小时还是会卡在那里。然后重启游戏，玩了几分钟就黑屏，点哪里都没反应。希望官方解决一下这些问题(>﹏<)
﻿Re,4E+00,2分钟,非鲁赛德战记玩家，非刀剑玩家，没经历过炸服单从个人游戏体验感受来说大概4星画面真的非常非常好看，从立绘到ui都很符合游戏背景(特别喜欢战斗结束后内个扇子的画面！)战斗时候的q版人物也挺萌的剧情第一章还没推完，暂时感觉中规中矩扣一星主要在我总觉得这个游戏在过场的时候会莫名其妙的卡还有感觉战斗系统不是很有意思，可能是因为前几关比较简单？还有还有充值礼包实在是太花哨了还会继续玩下去哒！只求后期活动别作死！！！！
﻿kulis♢,4E+00,,四十连，除了第一次人品爆发10连出了6个sr，其他都是保底一个sr，掉率真心低另外，需要氪的地方也确实有些多。特别是温泉，一块布40玉？？？不过毕竟是【乙女向】游戏，对我来说立绘什么的好看就行了，阵容差不多，不高不低看的过眼就OK。另外，并不认为这个游戏有什么抄袭cq的地方，你拿像素小人和纸片人游戏进行比较就有些搞笑了对不对。除了战斗模式一样真没看出来哪里抄袭了。这两游戏放一起说抄袭不是水军就是碰瓷好吗？？？稍微尊重一下别人的游戏，来别人的游戏里安利其他游戏你真的......素质在哪里？你可以说你是从哪来的，但是你这么光明正大的直接拉人会让人觉得你素质和情商不高知道吗？极品操作，玩过这么多游戏没见过那家游戏粉丝是cq这种操作的。最重要的是！！！建议官方调高爆率，你这爆率真的不行，我jio得和yys差不多了。但你这游戏刚起步，暂时比不了知道不。你得提高爆率给人继续玩的欲望啊，我不可能拿个我不那么喜欢的卡，还是r级，然后肝得一身劲吧？我确实不那么在意战斗什么的到底怎么样，但这不代表我就不想要高级卡了。更何况高级卡里还有低卡里没有的角色，我不仅要养成我还要收集人物吧。不然天天对着一样的角色我也会腻啊。来点新鲜感？战斗什么的我不在意，也不那么会分析就让大佬去说吧。先给个四星。五星标准暂时够不上希望越做越好。
﻿山支子,3E+00,1小时11分钟,emmmmmm首先看立绘玩的游戏卡池掉率感人qvq也许是我太非了二十抽  全是r  掉俩sr为什么一个人物还能抽到她的各种级别（玩的好迷女主的立绘总觉得哪里怪怪的不过可以自动播放剧情还是挺好的嘻嘻战斗的方法也容易上手蓬莱玉为什么分免费和付费  让我有自己可以抽很多次卡的错觉(Ｔ▽Ｔ)给狩野探幽一颗小星星（￣▽￣）／
﻿Daddy,1E+00,,我觉得官方是不是搞不清乙女和女性游戏。虽然本身这两个词的个定义本来就比较模糊但是：女性向是一个相对男性向的定义。女性向游戏包括了乙女游戏和腐向等标签。而乙女通常会更注重〖恋爱因素〗！你敢说刀剑乱舞是女性向游戏，所以没有任何乙女元素，不可以和刀男人有感情纠葛的吗？？本身这个定义就很模糊，还用这个来怼玩家真的很蠢，一棒子打死说“我们不是乙女游戏，所以你不能在里面和角色产生羁绊哦”的感觉？？（阿官说的是人与人，OK，玩家不是人GG）PS 立绘真的丑，live2d真的还不如不要。画女硬说男体感好差。抽卡爆率也非常感人。入浴每个人要先买浴衣也很服气。我还不如回去刀剑乱舞88
﻿早安呀今天是7月的某一天,4E+00,2小时13分钟,看着评分从内测9分多掉到昨天最低4分多的，今天回升了一点，作为一个看完差评回档评论特意等到修复后才下载的人，来给游戏提提分|ω・）邮箱加上我昨晚肝出来的铃铛，一共三十一个，看到有评论说十连掉率不科学，单抽反而更好，就做了个神降实验（之前除了新手教学没有神降过）。我先用十一个铃铛在天照池单抽，保底一个SR的情况下出了一个SSR琉胡一个SR天海；然后发现了祈愿池（｡ò ∀ ó｡）于是去祈愿十连了，最后只出了一个SR唐狮子(●—●)；最后十个在祈愿单抽，（此时还有保底20连SSR没出），出了三个SR|･ω･｀)，最后一张抽的时候，一道蓝光接一道紫光，看似SR的外表下，被保底逼出了个金光。。。。出了SSR鸦羽|･ω･｀)————来报一下新的实验结果：十个单抽，两个SR；十连保底一个SR有点不敢十连了_(:з」∠)_
﻿§§,4E+00,5小时28分钟,我觉得目前官方补偿还可以啦...回档的公告里写今晚10点前补发完成，还有20铃铛和很多蓬莱玉，我jio得海星。我也耍得挺开心的...1UR 5SSR，自我感觉爆率海星...？貌似不怎么伤肝...我刷本就挂着自动，胜利点两下就行，要没空就不领邮箱的体力，只点点本阵的内职和温泉啥的...人物我喜啦！！！xx
﻿盐渍丸子咸鱼挺,3E+00,4小时18分钟,emmmmm玩了一会感觉live2d做的有点奇怪…人物动作切换的非常僵硬，服务器问题之类的我刚玩没遇到，先3星观望玩了一阵子，总体来说体力真的很不足，升级不会补充体力很伤，这个游戏对体力的的需求又很大，概率方面我目前体感还成，不过又是1%让我想起隔壁某乙女游戏的1%一直挺害怕的x
﻿清河,2E+00,1小时48分钟,讲真对这游戏已经完全失去希望了，bug也完全没修复，回档一次也就算了，我刚冲完钱，又给我回档回没了，而且一过主线就给我卡死，根本就没游戏体验了，其实你游的缘结测试我也参加了当时还是挺期待你游的，但现在算了吧，你游的回档还有各种bug简直不能玩，真的是可惜了你游的立绘和配音，我还是赶紧回我的刀男养老去了
﻿Awake,1E+00,1小时56分钟,从预约开始满心期待地拉着朋友等公测，结果今天肝了一下午，刚才切到后台聊天，再回到游戏重开，里面什么都没有了？？？进度没了，我铃铛单抽的ssr也没了！！帐号回到初始状态！心态直接崩了！！！看tap评论才知道这个bug已经存在一天了，请问你们为什么不干脆早点直接停服修复？？
﻿Ryan。,4E+00,11小时40分钟,先表明身份，没参加内测，昨天开服以后氪全月卡，所有新手礼包，以及保底ur，同样被回档。开始很生气，但后续官方承诺补回，也有相应赔偿，目前不对此打分，来说说游戏其他部分。主线中规中矩，女主性格尚算自立，人物画面较为精美，配音虽然不是全程，也比较有代入感，战斗语音也很不错，很苏。体感不错。目前主线平推完第二章，刷材料有点累，但是放置也可以，当做内番休闲玩也不用急。至少对我这种咸鱼还算快乐，毕竟这种游戏不是一天就能玩到底的。对于卡的问题，我个人对比了ssr与ur数据，仅是A与A+的区别，除部分功能外不影响卡牌上阵出战，部分sr甚至前期非常好用（以奶爸僧人为例)，不需要唯ur论，也可以玩得动关卡。一星扣在体力恢复、疲劳度恢复太慢，寿司用完后不知道该做什么，升级和练卡效率到中期不会很快，要重复去肝关卡。武器系统需要一点更详细的指引，基本都是自己摸索过来的。总体而言，除却一开始的回档和令不少人诟病的掉率，游戏本体还是瑕不掩瑜的，不应该得到过低的分数。理解很多人被吞卡和等级打一星的愤怒。但是，因为【***公司做个日本游戏】【游戏里居然有氪金选项】【居然设置氪金礼包】这些理由打一星，恕我直言，您真的不是恶意找茬么？？
﻿手机用户30720479,3E+00,4小时7分钟,数据恢复了。。。改下分，总之满屏都是氪金提示太难看了，角色不分星级一个卡面也很。。。再加上贵游之前不关服维护的神奇理由，先这样吧——————大哥。。。你们bug没好为啥不关闭服务器？一点多那会氪的金抽的卡，三点多上线全回档了。。。我卡抽得烂没就没了，钱退一下呗，已经找客服了，看会不会处理吧。。。
﻿CY HERO,2E+00,4小时44分钟,游戏还好，勉强可以给个四星，但只给二星也是有原因的。闪退问题我能理解也能接受，大不了修好就行。不过闪退为啥要把数据清空？？？我什么等级都退了回去，甚至抽到的ssr也没了。非洲人表示很痛苦啊，鬼知道我下一次再抽到这个ssr是什么时候，真的气到我了。
﻿LeJazzHot,3E+00,3小时47分钟,两次删档测试+永测服玩家断断续续也玩了一年多了卡基本测试服都抽到过了三星给情怀，毕竟第一次玩也是冲着立绘去的【是真的好看，画师太太们辛苦了】一次次版本变动，这次出来的最终版其实删了不少东西，也没原来那么肝【虽然还是最喜欢一开始有茶歇的那一版】多少还是小期待这次公测，还在开服前在社交网络给首页推【我现在很后悔】先说说这次事故我寻思闪暖开服事故这也没几天不能有点警戒心事先有准备？说是现在哪个游戏开服不爆，行，回档登不上去官群测试群倒是一直有人在刷，就是客服找不到，没有回应，微博动态还停在一小时前，最起码官方发消息安抚一下玩家？也不闭服好好修复就这么急着玩家氪？氪倒是氪了，一回档抽的全没了几个意思？我寻思这都测试这么久了一点应对能力都没有？测试群的姐妹们还想着补偿十连，行8再说说掉率我的光国你给我吞了？刚抽没热乎就没了，我？掉率这个问题我真的一直想吐槽，永测服的姐妹不知有没有和我一样的，我永测号40连能出三个大吉ssr，然后剩下全是r，sr都少的可怜。删档后重肝到现在已经4个芭蕉五个大吉我？？一抽就是那两三个重的卡我真是没脾气这半年一次次版本更新后的掉率真的和之前完全没法比【也可能就是我非吧打扰了】还有游戏本身虽然不愿意说【毕竟有一颗想抽到粉卡饭纲的心支撑着我努力肝】，但是剧情真的是…挺全年龄向的emmm第三章剧情基本就没看过，不过我玩也就是为了养卡，剧情对我倒是次要了，不过真的玩到后面会枯燥，我之前的号基本后期都在养老了，要不就直接不上了x还有就是有的姐妹觉得女主不好看，其实我觉得还挺可爱的emmm希望越大失望越大吧，还是希望以后能越做越好？顺便客服什么时候复活？我现在不敢氪也不敢抽生怕一朝回到解放前【卑微】
﻿寺酒等于36,3E+00,,我之前测试服说过……我好喜欢两个天狗，尤其是饭缸……如果不逼氪我能养老到死但是没有出啊！！你游开测之后也不是测试时候的那个游戏了啊，这鬼打墙服务器你们是什么心态把它放出来的啊，虽然十连就当无事发生是开玩笑，但是500免费玉你连一个十连都不够，真的抠啊……别人掉俩UR我仨ssr，您这掉率有没有精细计算过啊，又不是没有内测过，清醒一点啊……
﻿A bottle of cat,3E+00,5小时47分钟,我还以为三十连没有ssr是我非，被踢出门以后来tap观光的时候一看评分和评论惊了，我说我怎么被踢出服务器以后重登好像回档了，同情一波重氪的大佬们。本来想着好像送ssr挺良心，不过再转念一想上限是ur的游戏，ssr其实就相当于sr，出了紫光也是蓝天白云，瞬间心平气和。以前也玩过痒痒鼠，常年中非（因为高速鹿爱我），不过连续三十连全r也是少见的非洲捞池了吧，掉率是怎么回事我也不是很想评论（总之没有再氪下去的欲望了）。出率那么低，微氪基本等于无氪，新手任务还有个128的小氪一把给我整笑了，我还不如去隔壁看看今天能不能捞能天使收齐六星。原本看画风来的，布都御魂这么好看原来不进池子，就在池子边妈妈桑一样看着我捞其他人，最后也就感觉饭纲比较合胃口，以及有些角色立绘，设定是穿越也就罢了穿过来还穿着jk西服的……感觉分外格格不入，美术风格都没有统一的感觉。至于有大佬说的首页氪金元素太多，赞成+1，浓浓的一股催氪页游的味道，点进去一看，真的是我见过的礼包最五花八门的手游了，本来战斗玩法就挺多，再加上什么东西都来一发礼包，新开一个玩法就加一个礼包，氪得晕头转向，明明有个商店也不放商店里。9021年了，就算氪金是真理，那一本书也不能全是真理啊。以及看到出了ur的还在别人评论区骑脸晒，真实海豹弟弟行为。
﻿枭兮,3E+00,1小时31分钟,贵游有点厉害啊我第一次回档的时候用补偿（加上补偿刚好够）抽了一次十连出了SSR玩了一会下线现在再上线发现有两个补偿没领领完看了眼我有的角色才发现又给我回了一次档我再抽十连9R，1SR厉害厉害还有我TapTap的预约里程的兑换码站内信也没发（这个可能不是游戏的问题）另外就算我没有兑换码游戏里未解锁的头像框里也没有（建议加进去让人知道还有这么个头像框）消除的手感有点差没有音效就是普通的点点点，自动战斗做的不是很智能
﻿アリス,3E+00,16分钟,🌚目前为止我还算比较欧？？？玩了几个小时看后续决定氪不氪2333设计还是挺和风的 但是有种迷之少儿绘本的感觉🌚对战机制还蛮新颖的 能接受 但是打击感很弱（我也不知道为什么我在向消消乐要求打击感👋）emmm至少学下音游来点配音？开服掉线能理解8 礼包第二次购买的时候到账了（我iOS明显比安卓不容易掉😂把小号改大号了） 希望之后能比较稳定没玩过测试服 冲着CV来的 被某游养刁了 有、难受 不过确实知道全程配很难 不算劝退点
﻿向死而生,3E+00,50分钟,一星给画风，一星给声优，还有一星给我那么辛辛苦苦等公测的时候和看在才开服的份上。新手教程到战斗那里就进行不下去了，反复登了都没用，心态都炸了，还是在这里评论区才知道缘由的。在主页面点击客服，按照流程反馈给了客服都没有反应。这游戏体验太憋屈了吧。扣两星。（没有直接卸载已经很好了）（我都没想到我第一次评论竟然是被你给逼的）
﻿穆蝉,3E+00,4小时47分钟,有点失望…预抽卡领取的ssr11点多的时候被回档消失了，刚才上线一看抽ssr保底池出的另一个ssr也被回档没了…卡池也没给我回档成抽之前的样子。看看我玩的游戏太少，这种情况我还是第一次见，我只见过FGO卡池bug回档的还没见过无缘无故就被回档的…真是不太敢玩下去了，抽到自己挺喜欢的ssr很开心，就是生怕哪天上线一看最后仅剩的一个ssr也被回档了…小舟迟迟不开夏活本来想玩你游渡过这段长草期的，现在看来我还是去肝元气骑士吧😑目前看貌似没有再回档了，氪了7块钱观望一下，问题再不解决就弃坑了7块当个鼓励钱😑本来挺期待的别把游戏搞黄了
﻿鹿鹿,3E+00,1小时14分钟,这里给个一星吧。我适量吐槽一下吧，我不知道是官方故意为难我还是怎么着。开局送五个铃铛，俩ssr，一sr，俩r，海星。之后我就退出去看了会儿QQ回来再登游戏剧情又到了侍女给我换衣服那里了?那这么说我不但要从新过关卡外还要从新抽卡?我看了看还挺良心的，又给了两次抽卡机会。我十连差点全r是什么鬼?你是故意为难我这种轻微有一点点欧的非洲人么?我抽完全r你们才修复?我赶得真是时候啊。官方你陪我俩ssr啊！改三星了，虽然ssr回来了但我那些维修补偿全都没了，你起码也得把我两次登录的算有卡都加上才是啊?
﻿梨子木,1E+00,2分钟,刚抽完就回档，回档之后二十连抽的保底ssr都是和原来重复的，我回档前抽的ur就这么被吞了？窒息了，辣鸡游戏。我十一点还是十二点的时候就开始bug、回档，回档了有两三次了，刚开服就搞这么大的bug暴死预订？预约了那么久，期待了那么久的游戏，如果我的卡回不来的话以后碰都不会碰一下了，都有心理阴影了。——————————分割线————————ok，我的卡回来了，正经说一下游戏感受，首先感觉卡的掉率挺迷的，而且叠卡率好高……战斗可以开自动，还不错，别的还没有仔细体验。继续三星观望。——————————二次分割————————日了，还在回档的只有我一个人吗？辛辛苦苦肝到12级，一个回档立马又五级了，只想着赚钱拿个半成品出来糊弄人？
﻿子和,3E+00,24分钟,怎么说呢这个游戏本来看没公测之前的评分和cv画风简直不能太好吃就是我想要的游戏主要还是奔着立花花去的1.进去玩了之后感觉剧情中的人物很僵硬2.然后战斗方面之前测试版没去但我觉得还行但不出彩勉勉强强83.主页上的人物你点击他就不能动一下然后回你话之类的吗？如果没有开启好感度你也不能杵在那真的跟木头人一样吧4.召唤的掉率太低了十连只有一个sr神降的试了二十几次才有ssr希望能调高一点还有十连的时候跳过你就不能痛痛快快的显示十张卡吗如果有ssr或是ur再来一个抽卡特效啊？5.我刚刚退出然后又重登一下竟然给我退了？虽然游戏进行时间不长但又要走一遍剧情吗？我死了综上所述cv一星立绘一星立花花一星
﻿手边的世界,3E+00,,1.抽卡时拔刀太慢了，看的很焦虑，手动划的意义在哪。2.我在打完鬼王时突然被弹出来，后来显示登录排队。过了一段时间登陆后，我回到了2级？？？抽的卡也没了。你们修个服务器还带时间回溯的吗？？？重打很烦的好吧！3.之前玩过删测，个人觉得页面设计更舒服了。抽卡的一片白我也不说什么了，毕竟我删测连UR都没有。4.本来想夸一下三十连免费抽的，它让我看见了本游第一个UR饭纲小天使。结果回头就没了，再见吧，打一颗星的想法都有了
﻿wuli纯黑,4E+00,,"UR和SSR出率真的低。体力真的难攒，好慢。。整个系统全开之后我觉得肝度也还行。优点很多，温泉啊，日志小剧场啊，立绘好看啊(虽然很多都似曾相识)等等现在觉得很不爽的就是出率和体力和战斗了(我方只要有个奶然后稳定攒大招基本不掉血orz该说开心呢还是无聊呢。。还有这个自动战斗系统完全就是随缘按顺序消啊。。。你要我相信我的小可爱们我也放心不下来啊？？？关于联网问题，除了刚开服掉过两回，其他时候都很顺畅(我是真不知道维护之后还因联网问题掉那么多分是怎么回事了 (﹁""﹁)最后还有一点点建议。在主页面互动的时候能不能有相关的武士客串一下(从某游那里回来羡慕)，而且到现在也没看到武士间羁绊连接除了送珠子外有啥用【还有想有一个私聊或公屏orz因为有时候看着名字和签名能遇到本命同好而且一个人刷饭团时间能有玩家聊聊天交流一下什么的也挺好(但是这可能会加重服务器负担和有人吵架啥的，所以我就只是小声说说几句|･ω･｀)官方辛苦了啊！！这几天维护这么多，希望越做越好——来自爱着饭纲的肝羁绊王"
﻿叶陌枫,3E+00,2小时39分钟,其他先不说，说一下那个抽三十次拿ssr/sr的卡池，第一次抽了个ssr，兴致勃勃刷关，OK，ssr10级了，就关掉游戏休息一会。打开游戏一看，嗯？？？我的ssr呢？？？再去卡池一看，哦还好卡池还在，继续抽，OK又来个ssr，继续刷，又十级，正好到午饭时间，于是下线吃饭。刚刚登游戏一看，嗯？？？又没了？？？不是已经解决了问题还发了补偿吗？怎么回事？现在已经不想打开这个游戏了，什么时候你们修复好我通知我一声吧，还有我这俩个升到十级的ssr怎么弄，会补偿体力吗？
﻿腐鲸,1E+00,47分钟,我服了，我打到第一章需要四级的关打完切出去一下微信游戏后台清理了 我重新打开我瞬间回到第一章第二节新手，所有东西全部回到那一刻，不知道的还以为玩的是单机存档，我抽的白抽我升级的白升级，帅哥是帅哥，“我”却是一个眼神诡异空洞的女人，那女的立绘都可以当恐怖游戏的立绘了，我现在重新抽完卡就不想玩的，鬼知道我退出游戏再进去是不是一朝到解放前😊服了我三十选人的ssr给我吞没了，别的都回来我ssr回不来好意思吗啊你们是用脚指头修bug的吗有没有脑子，卸载不玩了，玩个几把
﻿潼渊,3E+00,,我不懂为啥我打开游戏主界面是歪的本来想着可能是卡bug了，然后就重启，谁知道还是歪的，于是不死心的我就删了重新下载，结果发现没啥用，还是歪的，于是还是不死心的我，又去其他平台下载，结果......还!是!歪!的!why???why???我是非常喜欢这个游戏的，所以我才反复这么多次下载，回档?没事，我没有抽卡。主界面改了?没事，我对这些没有要求。但是!为什么主界面这种东西会有这么大的bug???| ｀Д´|还有就是!为什么好友界面的返回键按了没有用??看大家都没有反应这个问题，难不成只有我有嘛???好了，一星给我测试时的美好回忆，一星给我可爱的琉胡，一星给我坚持不懈的努力╮(╯_╰)╭
﻿Heize,3E+00,3小时23分钟,在删档测试期玩过，因为最后会删档所以没怎么肝，开服之后发现有些地方有些不同了，总得来说其实也挺好的，毕竟我是立绘党。但是开始之后正在给芭蕉开花，突然网络不好，第一次是把我踢出游戏从头开始排队进游戏，进了游戏之后继续卡。退出重进之后就从序章重新开始，感觉就好像是玩游戏没有存档功能一样，每一次退出都是新的开始???太吓人了吧。因为最开始还没怎么肝这还好……但是来这么一下子很影响游戏体验啊??打个分再观望一下吧……在这个问题解决之前我是不会再继续了，特别怕肝了半天然后进游戏再从头开始。
﻿夏Abbb,3E+00,9小时26分钟,"暂时给4星吧，我也才开始看主线剧情就忍不住过来评价了，我是冲着立花和子安来的...摩拳擦掌下载好点进剧情，发现我的立花只会语气词和几个句子( ´∵｀)我愣了很久......没有打预防针实在是冲着声优来的我有点措不及防，不知道后面会不会有整句配音啊呜呜呜操作方面，三消游戏就想到的是我玩了很久的克鲁赛德战记（心动版的），打击感和快感稍微弱了但我能接受，我手机也不卡玩得挺畅通的q版和人物立绘都没有很大毛病....唯一就是女主哈哈哈哈哈哈我怎么是这个亚子？？女主就该有女主的亚子啊！.jpg————————————————————————————玩了差不多一个下午,贫穷感和满满的氪金礼包在我的界面上如此夺目配音这个我现在已经缓过来了....也不太期望有多大的好转了 毕竟也没这么多资金请人讲剧情（）再谈谈掉率....是真的很感人还有今天老是出现异常的服务器这些足够让我扣一分了。_(:з」"
﻿叶叶叶子呀,3E+00,3小时58分钟,一星给卡面，一星给游戏设计，一星给语音。扣的两星给游戏体验。本来想忍一忍等明天稳定再说，结果重开界面发现氪的礼包都没了，虽然也就几块钱的事但还是忍不了了。刚一开游发现只有一个服务器的时候其实就觉得有点担心吧，因为一早上下载人数真的是蛮多。界面设计人物卡面还有语音真的是没话说，非常好的一游戏，但是说真的东西太多一开始玩真的蛮繁琐，现在还不是很搞的明白。本来想着今天估计就蹲游戏里了结果给我闪退，进入看到那个排队页面我真的是傻了。头一次在乙女游戏排队。。。行吧，那排。闪退之前本来是在抽卡，就那个30次的卡池，好容易出了个SSR结果把我叉出去了，回来还一直确认不了。那我想着我就等等，等你维护。结果好家伙，点个外卖回来的功夫又回到了一关没打的状态，名字也给我换回去了（改了名）。再一看，好的，特别棒，氪金也白氪。这我一共也才开始玩一个小时吧？看着测试玩家那么坚持本来也都准备像玩刀男那样一直肝了结果真的是很失望。希望有改变吧。
﻿Mr.Ai,3E+00,46分钟,首先过了新手教程（应该是），玩着玩着就出来了一个花圈圈， 开始还以为是个什么特效技能点了一下， 没想到竟然被劝diao退xian了（大雾后来再进竟然要排队…行吧，幸好也排进去了v可是我竟然发现我又回到了一级？？卡也没了？？又从头开始玩？？可是我又被卡掉线了啊啊啊？好吧一看发现果然我不是一个人_(:з」∠)_评分果然也哗哗的掉了好多_(:<)∠)_然后掉率也很迷鸭= =抽了一堆果然只有那一个算白送的ssr（嘛不过作为非洲人也算满足了然后我只充了1r(◍ ´꒳` ◍)（幸好
﻿知￠空,1E+00,2小时35分钟,服务器有问题，你们可以停机维护啊，干嘛还开着，开着就算了，还玩回档，把玩家当什么？当猴耍吗？抽的卡没了，而且两次了！补偿一如既往的腾讯风格，那点玉能做什么？卸载了，第一次见到这样的运营！----------------------------------------------------------------------------------还以为抽的卡能回来，重新下载一看，呵呵，还是原来那样，一星拿好，这是你该得到的分数
﻿M-Y...呐,3E+00,4小时27分钟,没玩多久就被强制下线了，所以没多少感觉，总之参与过几次测试，感觉还是一测好玩，不那么肝，没那么多氪金点。几次测试优化反而让我没啥耐心玩了，最近的一次测试我就玩了两天就卸载了，那个浴衣让我有点反感，还有ssr卡面除了金闪闪，在立绘上没有变化，n～ssr通用，我就是冲立绘人物来的。公测感觉战斗速度快了，，，看这游戏分数下得这么快，以后估计想升也很难。保重…
﻿Oceareen,2E+00,,一句话，你鹅场运营就是个屑，我还以为极光能好些，结果事实证明，鹅场不愧是鹅场，鹅场下的蛋也还是鹅，变不成天鹅。之前没玩过腾讯代理的游戏，还不知道为什么被骂得这么厉害，我现在明白了，龙族那边的搞笑运营我就不说了，你游不是大厂吗？服务器垃圾成这样？还回档，回档就算了嗷，被吞档吞得不耐烦的玩家，氪金被吞的玩家骂成这样，补偿两发嗷。无所谓，反正玩家是韭菜吗(笑，该骂骂，不也还是照样有人氪金嗷，评分低就低呗，又不影响你们继续赚钱不是:-D，紧急维护俩小时之后，玩着玩着还是继续爱的魔力转圈圈，别人服务器是土豆，你们连土豆都不如，你们是土豆粉。还有你鹅特色在线时长奖励，你弄就弄吧，你弄仨小时，要想拿全奖励我他妈得一天挂机仨小时，牛皮，要是玩你鹅两个游戏，想拿全奖励一天就要花六个小时挂机，你当你是网游呢？网游也没有强制在线三小时才能拿的奖励吧:-D，鹅场牛逼！反正我也没指望你们改，要改早改了，你厂是真的强，我一个对游戏运营宽容度还算是高的人都想骂你们，就这样，已经作掉了五分，我看看接下来你们的还会不会继续作。
﻿洛洛洛洛喵,3E+00,2小时40分钟,真的，回档我也认了，掉率也就算了，真的UI混乱，界面乱七八糟的我是真的看的火大，能不能赶紧修复一下这个界面，点什么都没反应只能收收信，点头像进去就再也出不来了。麻烦好好修复一下，这个不属于游戏内容了，是基本的界面问题了好嘛，我两个华为的朋友都没有问题，如果是小米手机有什么问题的话也希望你们快点查出来，我这一个小时全都在上线看看界面修复了没有，没有就下线待会在上，很累的qwq
﻿Haru,3E+00,4小时12分钟,到底是我网不好还是服务器炸服了，前三十分钟体验很好，突然就断线然后排队，刚进去又卡住了……？？？服炸了还是我网不好TAT？？好好的游戏9.0掉到6.3真的我看着都心疼，希望只是预约直接公测的小可爱手下留情吧……虽然我tm现在卡的都已经进不去了:）执剑之刻第一次内测玩过后来因为太忙了就没参加其他的测试，说实话突然直接跳公测是真的看到了很多官方努力的痕迹，除了炸服问题，多开一个服不行吗，才玩了48分就炸的上天了，真的好难受啊
﻿Freusan🎐,3E+00,,你游服务器这么不稳定的么？？？？？？？实在不行别开服啊？？？？？？别氪金啊？？？？？？氪金项目这么老多就算了，看在刚才掉率还行的份上，在上线我哥哥们再没了直接再见吧真是——————————————————扣星扣星！我寻思着刚开服谁不炸呢，炸就炸吧我下午再上，结果上了之后你给我回档了？？？？？头一次见这么牛逼的操作，溜了溜了————————————一星给立绘，一星给机制，一星给声优。一星给同行衬得好。刚想充钱我就被维护了，在上线就开始排队了，溜了溜了👌及格线上的游戏，机制很新颖，没来得及看剧情，画风不廉价但是偏幼儿。职业还没搞懂就掉了 就这样吧
﻿新手指南,1E+00,5小时23分钟,最后修改一次了，你游真的天才中的天才，有的游戏一看就知道是屎，你游是屎外面包了一层糖衣骗人，开服有问题不停服维修，现在兜不住了晚上来？晚上我终于下班了想肝一下你搞这个？才氪了我就再也上不去了，从战斗闪退到进去就闪退，还能把我界面的人物给闪没，尝试换模拟器直接卡死，要不是画师和世界观和剑君一样我会抽风玩这个！？玩法抄袭，相同卡这个设定抄袭，界面抄袭维修后开服在回档闪退我只能祝福天天过清明节了
﻿/xs 諗訖💘,1E+00,14分钟,新人劝退我也是玩过内测的人，没想到公测这么差没钱的直接不要玩了，剧情再好，人物再帅也没啥用，虽然这两点本来也就三星中规中矩还可以吧看看20连能出啥抽完了，一个保底，退了退了哦哦打扰了我看到礼包十连打折，特别开心，结果全服补偿发出来一看，五百免费玉，付费玉哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我笑死了，穷人不配抽卡也是，一天一次六块的？免费玉有屁用哦你还不如出个勾玉，还免费付费，不累吗
﻿樱落,4E+00,3小时7分钟,一星给立绘，一星给声优，一星给r社，一星是情怀。是剑君玩家，看到一些熟悉的剧情真的觉得非常的怀念。不过昨天闪退之后重新上线发现被回档了有点烦躁。整体游戏体验一般，有一种元素过多的感觉。主页的各种按钮非常多，我也不知道是我的问题还是游戏本身的问题存在一定的延迟，然后导致非常容易点错(。)还有升级不回体力这一点真的觉得非常窒息，一旦体力清完就要等待漫长的CD。还有那个推荐等级是真的不到那个等级就没有办法三星诶，还是说因为我太菜了。明明我的卡组还可以的。别的想不到了，慢慢补充吧。
﻿Fly over,4E+00,,重要的事情说三遍：🍙体力不够用！🍙体力不够用！🍙体力不够用！还有这个体力机制 ，就像其他玩家说的竟然没有升级回体力，你游还给人护肝？关键这个体力也是贵的一批，第一次60，嗯好，第二次就翻倍了，emmm，有点良心吧好友系统也不完善，除了互送那个特殊货币也不能干啥，而且这个货币得的慢，买东西又贵，我fo了。
